2024-08-14 23:19:23.817 [main] INFO  blog.ice.weblog.web.WeblogWebApplication - Starting WeblogWebApplication using Java 19.0.1 on DESKTOP-L5VIA6F with PID 2844 (F:\coding\workplace\weblog\weblog-springboot\weblog-web\target\classes started by icedragon in F:\coding\workplace\weblog\weblog-springboot)
2024-08-14 23:19:23.819 [main] INFO  blog.ice.weblog.web.WeblogWebApplication - The following profiles are active: prod
2024-08-14 23:19:24.690 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2024-08-14 23:19:24.699 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2024-08-14 23:19:24.701 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.56]
2024-08-14 23:19:24.754 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-08-14 23:19:24.754 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 901 ms
2024-08-14 23:19:25.076 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2024-08-14 23:19:25.083 [main] INFO  blog.ice.weblog.web.WeblogWebApplication - Started WeblogWebApplication in 1.705 seconds (JVM running for 2.325)
2024-08-14 23:20:12.618 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-08-14 23:20:12.618 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-08-14 23:20:12.619 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2024-08-14 23:20:12.648 [http-nio-8080-exec-1] WARN  o.s.w.s.m.support.DefaultHandlerExceptionResolver - Resolved [org.springframework.web.HttpMediaTypeNotSupportedException: Content type 'application/x-www-form-urlencoded;charset=UTF-8' not supported]
2024-08-14 23:20:39.494 [http-nio-8080-exec-2] WARN  o.s.w.s.m.support.DefaultHandlerExceptionResolver - Resolved [org.springframework.web.HttpMediaTypeNotSupportedException: Content type 'application/x-www-form-urlencoded;charset=UTF-8' not supported]
2024-08-14 23:21:43.064 [http-nio-8080-exec-4] WARN  o.s.w.s.m.support.DefaultHandlerExceptionResolver - Resolved [org.springframework.http.converter.HttpMessageNotReadableException: JSON parse error: Unrecognized token 'username': was expecting (JSON String, Number, Array, Object or token 'null', 'true' or 'false'); nested exception is com.fasterxml.jackson.core.JsonParseException: Unrecognized token 'username': was expecting (JSON String, Number, Array, Object or token 'null', 'true' or 'false')<EOL> at [Source: (PushbackInputStream); line: 1, column: 10]]
2024-08-14 23:22:24.054 [http-nio-8080-exec-5] WARN  o.s.w.s.m.support.DefaultHandlerExceptionResolver - Resolved [org.springframework.http.converter.HttpMessageNotReadableException: JSON parse error: Unexpected character ('u' (code 117)): was expecting double-quote to start field name; nested exception is com.fasterxml.jackson.core.JsonParseException: Unexpected character ('u' (code 117)): was expecting double-quote to start field name<EOL> at [Source: (PushbackInputStream); line: 1, column: 3]]
2024-08-14 23:22:52.926 [http-nio-8080-exec-6] WARN  o.s.w.s.m.support.DefaultHandlerExceptionResolver - Resolved [org.springframework.http.converter.HttpMessageNotReadableException: JSON parse error: Unexpected character ('u' (code 117)): was expecting double-quote to start field name; nested exception is com.fasterxml.jackson.core.JsonParseException: Unexpected character ('u' (code 117)): was expecting double-quote to start field name<EOL> at [Source: (PushbackInputStream); line: 1, column: 3]]
2024-08-14 23:23:16.451 [http-nio-8080-exec-7] INFO  b.ice.weblog.common.aspect.ApiOperationLogAspect - ------请求结束[测试接口],耗时：15ms,入参：{"id":0,"username":"ice","password":null,"sex":1}， 出参：{"id":0,"username":"ice","password":null,"sex":1}
